id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
797176519716642086,Marigny 2 bed + FREE parking onsite,493409859,Monsieur G,,Marigny,29.96604672722922,-90.06088706310328,Entire home/apt,,30,20,2024-09-01,1.15,4,30,3,"23-CSTR-81423, 20-OSTR-81423"
39228930,"Nice apt very close to FQ, St Claude & Mardi Gras",5446211,Christopher,,St. Roch,29.97215,-90.05468,Entire home/apt,,30,0,,,1,0,0,"19STR-09431, 19-OSTR-9431"
50155706,"5 Beds,3 BR,2Ba Mid-City Cottage.Great location!",68133194,Cecily,,Mid-City,29.97,-90.09101,Entire home/apt,193,30,50,2024-06-23,1.31,1,90,11,"21-RSTR-00870, 21-OSTR-06059"
20722720,New Kid On The Block! Near Frenchman & Bourbon St,10181589,Jodi,,St. Roch,29.97122,-90.04978,Entire home/apt,,30,135,2024-04-21,1.59,1,0,6,"23-STR-00000, 23-OSTR-00000"
20729796,Marigny Sugar Magnolia - Walk to French Quarter!,54894147,Lori,,Marigny,29.96579,-90.05423,Entire home/apt,,3,92,2024-02-14,1.10,1,0,6,"19STR-18192, 19-OSTR-0000"
20803501,Sunny Private Suite along Bayou St. John!,128426379,Emily And Josh,,Bayou St. John,29.97343,-90.08637,Entire home/apt,,30,139,2020-02-17,1.63,1,0,0,19STR-22575
20639499,Garden District/Magazine St./Traveling Nurse/Film,94979498,Greta,,St. Thomas Dev,29.93059,-90.07206,Entire home/apt,,30,200,2023-01-08,2.35,1,0,0,"19STR-27623, 20-OSTR-1401"
39465600,Cozy and Comfortable - VERY close to Downtown,303147588,Alana,,Old Aurora,29.92458,-90.00555,Entire home/apt,,2,7,2020-02-26,0.12,1,0,0,"21STR-24563, 21-OSTR-2456"
803704162965628860,"NOLA Charm: Sleeps 12, Near Attractions!",267363527,George,,Mid-City,29.971693782047225,-90.10301186560669,Entire home/apt,,2,7,2024-07-01,0.44,10,122,5,"23-CSTR-01480, 22-OSTR-15781"
51682824,Beautiful 2 Bed/2 Bath Steps to French Quarter,95683904,Brad,,Marigny,29.96574,-90.06199,Entire home/apt,135,3,91,2024-09-01,2.71,24,149,36,"21-CSTR-14782, 21-OSTR-17691"
20821041,7th Ward Retreat,11005117,Meg,,Seventh Ward,29.97802,-90.07431,Entire home/apt,,30,4,2019-03-03,0.05,1,0,0,
39242896,Quiet Uptown 2br Cottage,41661300,Jake,,Irish Channel,29.92426,-90.08296,Entire home/apt,,2,18,2020-03-21,0.31,1,0,0,"19STR-21689, 19-OSTR-21689"
48105205,Magnolia Boutique Hotel QQ,342206187,Magnolia Hotel,,Central Business District,29.95102,-90.06853,Private room,107,30,30,2023-12-02,0.71,1,133,3,Exempt
39533347,Cozy Cambronne Shotgun,17258600,Emmaline,,Leonidas,29.95029,-90.13117,Entire home/apt,,3,11,2022-01-02,0.19,1,0,0,"19STR-19645, 20-OSTR-02945"
